Venue name,Type,District,Locations,IG handle,IG followers,Posts UGC?,Google rating,Google reviews,New (<6 mo)?,Website,Phone,WhatsApp,Email,Decision maker,Role,Best channel,Status,Last touch,Next step,Notes
Stella's Coffee House - JVC,Specialty coffee,JVC,1 venue,@stellas_coffeehouse,,,4.9,300,,stellasdxb.com,+971 4 566 1080,,bassel@stellasdxb.com,Bassel,Owner,Email,1 - Enriched,,Personal email to Bassel + 2 profiles,"Dog cafe, owner actively replies to reviews. Personal email bassel@ on the domain = likely owner (role inferred). Also TikTok @stellas_coffeehouse. Al Barsha South Fourth, JVC. Landline only."
VITOR CASTRO - JVC,Dessert / bakery,JVC,1 venue,@vitorcastro.space,,,4.9,168,Yes,,+971 52 957 7969,+971 52 957 7969,,,,WhatsApp,1 - Enriched,,WhatsApp opener (mobile) + 2 profiles,"Portuguese bakery (pastel de nata) + specialty coffee. Recently opened (Curly Tales). NO website -> socials-first, strong trial-month fit. The Icon Casa 4."
Loukie's Speciality Coffee,Specialty coffee,JVC,1 venue,,,,4.9,135,,loukies.coffee,+971 58 584 5945,+971 58 584 5945,,,,WhatsApp,1 - Enriched,,"Verify IG handle, then WhatsApp opener","Sgal Community Park, district 15. IG handle not confirmed in search - verify on the venue."
Village Hangout Cafe (JVC),Brunch / cafe,JVC,1 venue,@villagehangoutcafe,641,,4.9,1481,,villagehangoutcafe.com,+971 56 650 6045,+971 56 650 6045,villagehangoutjvc@gmail.com,Varsha,Owner,WhatsApp,1 - Enriched,,WhatsApp opener to Varsha + 2 profiles,All-day breakfast + specialty coffee. 1481 Google reviews but only ~641 IG followers = weak social flow -> ideal pitch. 178 IG posts. Owner: Varsha. Reef Residence.
Roasters Specialty Coffee House Dubai Hills,Specialty coffee,Dubai Hills,7+ venues,@roasterscoffee_dxb,69000,Yes,4.8,886,Yes,roasterscoffee.ae,+971 58 514 4267,+971 58 514 4267,,,,WhatsApp,1 - Enriched,,"Lower priority - large chain, already saturated with UGC","Big local chain (Guinness-awarded), 69K IG, Dubai Hills branch just opened. Already gets heavy UGC -> weak fit for trial pitch. Included for contrast."
The Coffee Merchant,Specialty coffee,Business Bay,1 venue,@thecoffeemerchant.ae,3075,,4.9,397,,thecoffeemerchant.ae,+971 56 741 6664,+971 56 741 6664,thecoffeemerchantae@gmail.com,,,WhatsApp,1 - Enriched,,WhatsApp opener + 2 profiles (email as backup),"Own roastery. 3.0K IG. AG Tower, Marasi Dr. Email + mobile both public."
Title Brew,Specialty coffee,Business Bay,1 venue,,,,4.7,160,,,+971 4 447 4703,,,,,Instagram DM,1 - Enriched,,"Find IG handle, then IG DM opener","Indie / vinyl vibe, built for creatives. Bay Square 08, Marasi Dr. NO website -> socials-first. IG handle to confirm on venue."
Estekana Cafe,Specialty coffee,Business Bay,1 venue,@estekanacafe.ae,389,,4.2,69,,l.wl.co (linktree),+971 4 423 2239,,,,,Instagram DM,1 - Enriched,,IG DM opener + 2 profiles,"Blue Bay Tower, Marasi Dr. Burj Khalifa view, Turkish coffee. Lowest social proof of the set (4.2 / 69). 389 IG followers, 135 posts. Link-tree, not a real site."
Baristas' Corner Business Bay,Specialty coffee,Business Bay,1 venue,@baristascornerofficial,3576,,4.4,158,,baristascorner.com,+971 56 446 4461,+971 56 446 4461,info@baristascorner.com,,,WhatsApp,1 - Enriched,,WhatsApp opener (mobile from site) + 2 profiles,"24h, Canal Central Hotel, Marasi Dr. 3.6K IG, 317 posts. Mobile +971 56 446 4461 from website (Google listing shows landline +971 4 873 2191). 'Brainchild of an Emirati entrepreneur' - name not public. Owner claimed the Google listing."
Kimi - Speciality Coffee and Food,Brunch / cafe,Business Bay,1 venue,@kimicafedubai,,,4.8,176,,kimicafe.com,+971 4 572 3647,,,,,Instagram DM,1 - Enriched,,IG DM opener + 2 profiles,"Design-forward cafe (award-noted interior). Bay Square, Building 09. Owner claimed the Google listing."
